,patient,accuracy,classifier
641,33,0.5689655172413793,LDA
642,33,0.6724137931034483,LDA
643,33,0.5862068965517241,LDA
644,33,0.6379310344827587,LDA
645,33,0.5,LDA
646,33,0.7068965517241379,LDA
647,33,0.6379310344827587,LDA
648,33,0.603448275862069,LDA
649,33,0.6724137931034483,LDA
650,33,0.6206896551724138,MLP
651,33,0.5344827586206896,MLP
652,33,0.6724137931034483,MLP
653,33,0.6896551724137931,MLP
654,33,0.6206896551724138,MLP
655,33,0.5172413793103449,MLP
656,33,0.7758620689655172,MLP
657,33,0.6724137931034483,MLP
658,33,0.6724137931034483,MLP
659,33,0.7241379310344828,MLP
660,34,0.6666666666666666,LDA
661,34,0.5,LDA
662,34,0.6666666666666666,LDA
663,34,0.5,LDA
664,34,0.5,LDA
665,34,0.8333333333333334,LDA
666,34,0.8333333333333334,LDA
667,34,0.6666666666666666,LDA
668,34,1.0,LDA
669,34,0.6666666666666666,LDA
670,34,0.8333333333333334,MLP
671,34,0.8333333333333334,MLP
672,34,0.6666666666666666,MLP
673,34,0.5,MLP
674,34,0.6666666666666666,MLP
675,34,0.6666666666666666,MLP
676,34,0.5,MLP
677,34,0.6666666666666666,MLP
678,34,0.8333333333333334,MLP
679,34,0.8333333333333334,MLP
680,35,0.6833333333333333,LDA
681,35,0.7166666666666667,LDA
682,35,0.7333333333333333,LDA
683,35,0.6833333333333333,LDA
684,35,0.6833333333333333,LDA
685,35,0.6833333333333333,LDA
686,35,0.5,LDA
687,35,0.7833333333333333,LDA
688,35,0.75,LDA
689,35,0.6833333333333333,LDA
690,35,0.7,MLP
691,35,0.6666666666666666,MLP
692,35,0.65,MLP
693,35,0.6666666666666666,MLP
694,35,0.5833333333333334,MLP
695,35,0.6333333333333333,MLP
696,35,0.5666666666666667,MLP
697,35,0.6333333333333333,MLP
698,35,0.7,MLP
699,35,0.6833333333333333,MLP
700,36,0.7758620689655172,LDA
701,36,0.6896551724137931,LDA
702,36,0.8103448275862069,LDA
703,36,0.7586206896551724,LDA
704,36,0.7586206896551724,LDA
705,36,0.7068965517241379,LDA
706,36,0.6379310344827587,LDA
707,36,0.7068965517241379,LDA
708,36,0.7758620689655172,LDA
709,36,0.6724137931034483,LDA
710,36,0.7586206896551724,MLP
711,36,0.7586206896551724,MLP
712,36,0.7413793103448276,MLP
713,36,0.6724137931034483,MLP
714,36,0.7241379310344828,MLP
715,36,0.6551724137931034,MLP
716,36,0.6379310344827587,MLP
717,36,0.6896551724137931,MLP
718,36,0.8275862068965517,MLP
719,36,0.5862068965517241,MLP
720,37,0.6949152542372882,LDA
721,37,0.5084745762711864,LDA
722,37,0.5423728813559322,LDA
723,37,0.6271186440677966,LDA
724,37,0.6610169491525424,LDA
725,37,0.6440677966101694,LDA
726,37,0.559322033898305,LDA
727,37,0.5423728813559322,LDA
728,37,0.576271186440678,LDA
729,37,0.5254237288135594,LDA
730,37,0.5423728813559322,MLP
731,37,0.5932203389830508,MLP
732,37,0.559322033898305,MLP
733,37,0.6779661016949152,MLP
734,37,0.6779661016949152,MLP
735,37,0.6271186440677966,MLP
736,37,0.6610169491525424,MLP
737,37,0.6271186440677966,MLP
738,37,0.6440677966101694,MLP
739,37,0.5423728813559322,MLP
740,38,0.7068965517241379,LDA
741,38,0.7241379310344828,LDA
742,38,0.7586206896551724,LDA
743,38,0.8103448275862069,LDA
744,38,0.7068965517241379,LDA
745,38,0.6379310344827587,LDA
746,38,0.7068965517241379,LDA
747,38,0.6551724137931034,LDA
748,38,0.6896551724137931,LDA
749,38,0.7068965517241379,LDA
750,38,0.6724137931034483,MLP
751,38,0.6896551724137931,MLP
752,38,0.8103448275862069,MLP
753,38,0.8275862068965517,MLP
754,38,0.6896551724137931,MLP
755,38,0.6206896551724138,MLP
756,38,0.6896551724137931,MLP
757,38,0.7068965517241379,MLP
758,38,0.5862068965517241,MLP
759,38,0.6379310344827587,MLP
760,39,0.7,LDA
761,39,0.8,LDA
762,39,0.6833333333333333,LDA
763,39,0.75,LDA
764,39,0.7166666666666667,LDA
765,39,0.75,LDA
766,39,0.8,LDA
767,39,0.7333333333333333,LDA
768,39,0.7333333333333333,LDA
769,39,0.6833333333333333,LDA
770,39,0.7,MLP
771,39,0.75,MLP
772,39,0.6666666666666666,MLP
773,39,0.7666666666666667,MLP
774,39,0.6833333333333333,MLP
775,39,0.8333333333333334,MLP
776,39,0.8166666666666667,MLP
777,39,0.65,MLP
778,39,0.7,MLP
779,39,0.7166666666666667,MLP
780,40,0.65,LDA
781,40,0.7333333333333333,LDA
782,40,0.55,LDA
783,40,0.5166666666666667,LDA
784,40,0.6333333333333333,LDA
785,40,0.7,LDA
786,40,0.7166666666666667,LDA
787,40,0.6833333333333333,LDA
788,40,0.65,LDA
789,40,0.7333333333333333,LDA
790,40,0.65,MLP
791,40,0.7166666666666667,MLP
792,40,0.6166666666666667,MLP
793,40,0.55,MLP
794,40,0.55,MLP
795,40,0.6,MLP
796,40,0.65,MLP
797,40,0.55,MLP
798,40,0.6,MLP
799,40,0.7166666666666667,MLP
800,41,0.9166666666666666,LDA
801,41,0.9333333333333333,LDA
802,41,0.9166666666666666,LDA
803,41,0.95,LDA
804,41,0.9333333333333333,LDA
805,41,0.8666666666666667,LDA
806,41,0.95,LDA
807,41,0.8666666666666667,LDA
